Date,Open,High,Low,Close
2023-03-30,1.13142,1.13287,1.12796,1.13152
2023-03-31,1.13159,1.13657,1.12755,1.12854
2023-04-03,1.12799,1.13434,1.12692,1.13372
2023-04-04,1.13364,1.1415,1.13119,1.13251
2023-04-05,1.13255,1.13296,1.12534,1.1295
2023-04-06,1.12932,1.13054,1.12413,1.12583
2023-04-10,1.12403,1.12705,1.12298,1.12641
2023-04-11,1.12608,1.12696,1.12143,1.12284
2023-04-12,1.12283,1.12283,1.11559,1.11856
2023-04-13,1.11863,1.12058,1.1104,1.11449
2023-04-14,1.11415,1.11431,1.10962,1.11001
2023-04-17,1.11053,1.11289,1.10713,1.11258
2023-04-18,1.11252,1.11684,1.1111,1.11401
2023-04-19,1.1137,1.11924,1.11326,1.11619
2023-04-20,1.11615,1.11622,1.10978,1.11036
2023-04-21,1.11034,1.11115,1.10538,1.11023
2023-04-24,1.1104,1.11079,1.10571,1.10847
2023-04-25,1.10851,1.109,1.10281,1.10679
2023-04-26,1.107,1.11251,1.10638,1.1111
2023-04-27,1.11083,1.11864,1.11021,1.11711
2023-04-28,1.11726,1.12333,1.1147,1.12325
2023-05-01,1.12308,1.12431,1.11793,1.1192
2023-05-02,1.11932,1.1222,1.11288,1.11359
2023-05-03,1.11358,1.11506,1.10945,1.1108
2023-05-04,1.11096,1.11668,1.10962,1.11364
2023-05-05,1.11358,1.12773,1.11345,1.12526
2023-05-08,1.12454,1.12577,1.12093,1.12276
2023-05-09,1.12267,1.12602,1.12155,1.12381
2023-05-10,1.12384,1.12588,1.12127,1.12288
2023-05-11,1.12296,1.12763,1.1185,1.11865
2023-05-12,1.11859,1.12107,1.11555,1.11862
2023-05-15,1.11822,1.12246,1.118,1.12213
2023-05-16,1.122,1.12217,1.11645,1.1193
2023-05-17,1.11914,1.12469,1.11593,1.12214
2023-05-18,1.12235,1.12451,1.11932,1.12279
2023-05-19,1.12272,1.12331,1.11907,1.12018
2023-05-22,1.11886,1.11964,1.11338,1.11642
2023-05-23,1.11637,1.12007,1.11464,1.11922
2023-05-24,1.11924,1.12404,1.11702,1.1194
2023-05-25,1.11919,1.122,1.11563,1.11603
2023-05-26,1.11598,1.11896,1.11455,1.11779
2023-05-29,1.1181,1.11891,1.11465,1.11766
2023-05-30,1.11753,1.12485,1.11641,1.12469
2023-05-31,1.12449,1.13346,1.12422,1.1326
2023-06-01,1.13241,1.13903,1.12972,1.13458
2023-06-02,1.13416,1.13678,1.13093,1.1317
2023-06-05,1.13153,1.13272,1.12373,1.12647
2023-06-06,1.12642,1.12858,1.12374,1.12753
2023-06-07,1.12735,1.13243,1.12574,1.13191
2023-06-08,1.132,1.13419,1.12643,1.12881
2023-06-09,1.12889,1.13675,1.12802,1.1367
2023-06-12,1.1362,1.13844,1.13501,1.13713
2023-06-13,1.13709,1.14297,1.13518,1.14169
2023-06-14,1.14161,1.1429,1.13811,1.1407
2023-06-15,1.14079,1.14532,1.13774,1.13985
2023-06-16,1.13987,1.14728,1.13902,1.14702
2023-06-19,1.14683,1.14871,1.14477,1.14672
2023-06-20,1.1462,1.14884,1.14252,1.14613
2023-06-21,1.14601,1.15045,1.13815,1.14016
2023-06-22,1.14029,1.14586,1.13592,1.14029
2023-06-23,1.14022,1.14525,1.13815,1.14073
2023-06-26,1.14045,1.14134,1.13219,1.13866
2023-06-27,1.1387,1.14332,1.13682,1.13912
2023-06-28,1.13889,1.14029,1.13161,1.13332
2023-06-29,1.13338,1.13557,1.13176,1.13423
2023-06-30,1.13421,1.14055,1.13375,1.13659
2023-07-03,1.13646,1.14078,1.13562,1.13785
2023-07-04,1.13785,1.14126,1.13619,1.14024
2023-07-05,1.14036,1.14263,1.13952,1.14156
2023-07-06,1.14154,1.14534,1.13822,1.14098
2023-07-07,1.14097,1.14427,1.13999,1.14054
2023-07-10,1.14098,1.14167,1.13606,1.13887
2023-07-11,1.13879,1.14021,1.13544,1.13723
2023-07-12,1.13719,1.13852,1.12586,1.12665
2023-07-13,1.1266,1.1297,1.12288,1.12817
2023-07-14,1.12778,1.1306,1.12414,1.12904
2023-07-17,1.12921,1.12986,1.12272,1.12493
2023-07-18,1.1248,1.12582,1.11781,1.11838
2023-07-19,1.11813,1.11827,1.10609,1.11105
2023-07-20,1.11099,1.11642,1.10643,1.11488
2023-07-21,1.11483,1.11725,1.1086,1.11351
2023-07-24,1.1129,1.11583,1.10922,1.11522
2023-07-25,1.11536,1.11754,1.11196,1.11437
2023-07-26,1.1144,1.11608,1.111,1.11418
2023-07-27,1.11398,1.11791,1.10888,1.11212
2023-07-28,1.11221,1.11935,1.10965,1.1178
2023-07-31,1.11785,1.12188,1.11494,1.11818
2023-08-01,1.11821,1.12295,1.11492,1.11543
2023-08-02,1.1158,1.12347,1.11291,1.11574
2023-08-03,1.11571,1.11716,1.10579,1.11177
2023-08-04,1.11167,1.11559,1.11112,1.11261
2023-08-07,1.1125,1.11773,1.11231,1.11578
2023-08-08,1.11568,1.11666,1.11272,1.11621
2023-08-09,1.11609,1.11762,1.11453,1.11564
2023-08-10,1.11552,1.11666,1.1105,1.11141
2023-08-11,1.11133,1.11495,1.11088,1.11316
2023-08-14,1.11281,1.11533,1.11086,1.11402
2023-08-15,1.11441,1.11799,1.11203,1.11568
2023-08-16,1.11565,1.12189,1.11509,1.12045
2023-08-17,1.12026,1.12205,1.11725,1.11986
2023-08-18,1.11967,1.12436,1.11721,1.12376
2023-08-21,1.12325,1.12436,1.11853,1.12079
2023-08-22,1.12073,1.12313,1.11958,1.12096
2023-08-23,1.12092,1.12216,1.1116,1.11673
2023-08-24,1.11666,1.11803,1.11353,1.1145
2023-08-25,1.11461,1.11743,1.11269,1.1129
2023-08-28,1.11272,1.11431,1.11052,1.11342
2023-08-29,1.11367,1.11652,1.1088,1.11098
2023-08-30,1.11099,1.11777,1.10979,1.11755
2023-08-31,1.11763,1.12078,1.11614,1.11947
2023-09-01,1.1194,1.11983,1.11438,1.1151
2023-09-04,1.11522,1.11778,1.1143,1.11696
2023-09-05,1.11682,1.11871,1.11245,1.11781
2023-09-06,1.11802,1.11902,1.11426,1.11452
2023-09-07,1.11435,1.11522,1.11098,1.11333
2023-09-08,1.11322,1.1148,1.11114,1.11247
2023-09-11,1.11284,1.11821,1.11248,1.11465
2023-09-12,1.11465,1.11678,1.11136,1.1135
2023-09-13,1.11362,1.11631,1.10975,1.11613
2023-09-14,1.11617,1.11643,1.11,1.11146
2023-09-15,1.11135,1.11432,1.11007,1.11144
2023-09-18,1.11133,1.11248,1.10857,1.11137
2023-09-19,1.11115,1.11347,1.10867,1.11222
2023-09-20,1.11237,1.11279,1.10716,1.10923
2023-09-21,1.10914,1.11682,1.1069,1.11201
2023-09-22,1.11201,1.11235,1.1085,1.11032
2023-09-25,1.11048,1.11473,1.10986,1.11398
2023-09-26,1.11397,1.11442,1.11117,1.11315
2023-09-27,1.11316,1.1181,1.11224,1.11751
2023-09-28,1.11751,1.12157,1.11612,1.11682
2023-09-29,1.11677,1.11922,1.11263,1.1167
2023-10-02,1.11623,1.11729,1.10931,1.10981
2023-10-03,1.1097,1.11486,1.10885,1.11244
2023-10-04,1.11217,1.11513,1.1102,1.11309
2023-10-05,1.11291,1.11391,1.10972,1.1125
2023-10-06,1.1126,1.11439,1.11055,1.11346
2023-10-09,1.1108,1.11151,1.10622,1.10971
2023-10-10,1.10943,1.112,1.10651,1.11159
2023-10-11,1.1117,1.11262,1.10825,1.11028
2023-10-12,1.11029,1.11036,1.10531,1.10611
2023-10-13,1.10624,1.10776,1.09167,1.09477
2023-10-16,1.09565,1.10076,1.0952,1.09973
2023-10-17,1.09937,1.09976,1.09509,1.09715
2023-10-18,1.0969,1.09737,1.08953,1.09116
2023-10-19,1.09115,1.09168,1.08175,1.08215
2023-10-20,1.08215,1.08509,1.07834,1.08487
2023-10-23,1.0849,1.09222,1.08355,1.09129
2023-10-24,1.0913,1.09404,1.08599,1.08628
